ID,extraversion,agreeableness_num,Conscientiousness_num,Neuroticism_num,Openness_num,extraversion,agreeableness,Conscientiousness,Neuroticism,Openness
L01,29,95,33,32,98,LOW,HIGH,AVERAGE,LOW,HIGH
L03,52,29,10,75,91,AVERAGE,LOW,LOW,LOW,HIGH
L07,11,31,61,69,29,LOW,LOW,AVERAGE,HIGH,LOW
C3,29,31,15,99,40,LOW,LOW,LOW,HIGH,AVERAGE
C9,89,77,53,30,94,HIGH,HIGH,AVERAGE,LOW,HIGH
C11,1,1,4,99,28,LOW,LOW,LOW,HIGH,LOW
L08,77,75,86,7,13,HIGH,HIGH,HIGH,LOW,LOW
L15,11,31,61,69,29,LOW,LOW,AVERAGE,HIGH,LOW
L14,96,89,79,23,52,HIGH,HIGH,HIGH,LOW,AVERAGE
C12,15,3,6,92,69,LOW,LOW,LOW,HIGH,HIGH
C02,27,86,87,45,45,LOW,HIGH,HIGH,AVERAGE,AVERAGE
C07,40,70,68,71,59,AVERAGE,HIGH,HIGH,HIGH,AVERAGE
L12,76,77,98,8,70,HIGH,HIGH,HIGH,LOW,HIGH
C15,27,86,87,45,45,LOW,HIGH,HIGH,AVERAGE,AVERAGE
C14,40,70,68,71,59,AVERAGE,HIGH,HIGH,HIGH,AVERAGE
L06,93,77,56,17,93,HIGH,HIGH,AVERAGE,LOW,HIGH
C04,70,80,1,35,48,HIGH,HIGH,LOW,AVERAGE,AVERAGE
C06,12,89,67,6,26,LOW,HIGH,HIGH,LOW,LOW
C10,1,29,61,87,24,LOW,LOW,AVERAGE,HIGH,LOW
C13,1,29,61,87,24,LOW,LOW,AVERAGE,HIGH,LOW
L04,67,53,28,56,74,AVERAGE,AVERAGE,LOW,AVERAGE,HIGH
L05,43,74,98,1,63,AVERAGE,HIGH,HIGH,LOW,AVERAGE
L09,95,43,43,23,91,HIGH,AVERAGE,AVERAGE,LOW,HIGH
L11,21,84,61,45,70,LOW,HIGH,AVERAGE,AVERAGE,HIGH